No.paper,No.study,groupID,Country,Continent,Longitude coordinate,Latitude coordinate,MAT,MAP,NF(¦Ìg kg d),nifH gene £¨copes g-1£©,pH,Moisture(%),SOC(g kg-1),TN(g kg-1),C/N ratio,TP(g kg-1),TK(g kg-1),OlsenP(mg kg-1),AK(mg kg),NH4(mg kg),NO3(mg kg),sand (%),silt(%),Clay(%)
1,Li_1 mean,Cropland,China,Asia,NA,NA,NA,NA,300,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_2,Wetland,China,Asia,NA,NA,NA,NA,400,12000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_3,Forest,China,Asia,NA,NA,NA,NA,187,25000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_1,Cropland,China,Asia,NA,NA,NA,NA,561.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_2,Cropland,China,Asia,NA,NA,NA,NA,538.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_3,Cropland,China,Asia,NA,NA,NA,NA,537.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_4,Cropland,China,Asia,NA,NA,NA,NA,516.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_5,Cropland,China,Asia,NA,NA,NA,NA,458.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_6,Cropland,China,Asia,NA,NA,NA,NA,448.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_7,Cropland,China,Asia,NA,NA,NA,NA,440.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_8,Cropland,China,Asia,NA,NA,NA,NA,432.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_9,Cropland,China,Asia,NA,NA,NA,NA,415.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_10,Cropland,China,Asia,NA,NA,NA,NA,346.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_11,Cropland,China,Asia,NA,NA,NA,NA,322.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_12,Cropland,China,Asia,NA,NA,NA,NA,326.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_13,Cropland,China,Asia,NA,NA,NA,NA,311.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_14,Cropland,China,Asia,NA,NA,NA,NA,296.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_15,Cropland,China,Asia,NA,NA,NA,NA,270.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_16,Cropland,China,Asia,NA,NA,NA,NA,256.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_17,Cropland,China,Asia,NA,NA,NA,NA,271.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_18,Cropland,China,Asia,NA,NA,NA,NA,243.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_19,Cropland,China,Asia,NA,NA,NA,NA,262.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_20,Cropland,China,Asia,NA,NA,NA,NA,246.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_21,Cropland,China,Asia,NA,NA,NA,NA,262.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_22,Cropland,China,Asia,NA,NA,NA,NA,247.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_23,Cropland,China,Asia,NA,NA,NA,NA,251.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_24,Cropland,China,Asia,NA,NA,NA,NA,256.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_25,Cropland,China,Asia,NA,NA,NA,NA,258.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_26,Cropland,China,Asia,NA,NA,NA,NA,259.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_27,Cropland,China,Asia,NA,NA,NA,NA,272.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_28,Cropland,China,Asia,NA,NA,NA,NA,246.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_29,Cropland,China,Asia,NA,NA,NA,NA,272.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_30,Cropland,China,Asia,NA,NA,NA,NA,272.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_31,Wetland,China,Asia,NA,NA,NA,NA,800.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_32,Wetland,China,Asia,NA,NA,NA,NA,597.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_33,Wetland,China,Asia,NA,NA,NA,NA,568.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_34,Wetland,China,Asia,NA,NA,NA,NA,550.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_35,Wetland,China,Asia,NA,NA,NA,NA,507.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_36,Wetland,China,Asia,NA,NA,NA,NA,488.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_37,Wetland,China,Asia,NA,NA,NA,NA,488.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_38,Wetland,China,Asia,NA,NA,NA,NA,481.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_39,Wetland,China,Asia,NA,NA,NA,NA,511.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_40,Wetland,China,Asia,NA,NA,NA,NA,494.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_41,Wetland,China,Asia,NA,NA,NA,NA,451.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_42,Wetland,China,Asia,NA,NA,NA,NA,445.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_43,Wetland,China,Asia,NA,NA,NA,NA,457.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_44,Wetland,China,Asia,NA,NA,NA,NA,408.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_45,Wetland,China,Asia,NA,NA,NA,NA,399.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_46,Wetland,China,Asia,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_47,Wetland,China,Asia,NA,NA,NA,NA,418.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_48,Wetland,China,Asia,NA,NA,NA,NA,371.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_49,Wetland,China,Asia,NA,NA,NA,NA,369.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_50,Wetland,China,Asia,NA,NA,NA,NA,341.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_51,Wetland,China,Asia,NA,NA,NA,NA,365.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_52,Wetland,China,Asia,NA,NA,NA,NA,356.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Li_53,Wetland,China,Asia,NA,NA,NA,NA,289.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
